"Category";"Time (MM:SS.SSS)";"Scrambler";"Date";"Penalty +2 (yes or no)";"DNF (yes or no)";"Section"
3x3x3;00:21.988;R2 U' B2 F2 L2 U' B2 D F' L2 U' R2 B2 R B2 L F U R2;2019-08-01 18:30;no;no;1564673269499;
3x3x3;00:19.567;F' R2 U2 L2 D2 B F2 R2 F2 U' B' L' B D2 U2 B' R2 F2 L2 U;2019-08-01 18:29;no;no;1564673269499;
3x3x3;00:18.786;U2 D' R' B2 U2 F2 B U2 F R' D L2 D2 F' B' R2 B' U2 D2;2019-08-01 18:29;no;no;1564673269499;
3x3x3;00:21.675;B R U2 L D L2 D' L2 F R2 B2 U' D2 R2 D F2 L2 F2 L2;2019-08-01 18:28;no;no;1564673269499;
3x3x3;00:21.704;F2 D2 F' L2 F2 R2 F D2 L2 B U2 L D' R2 D' R D' B' U' L' D;2019-08-01 18:27;no;no;1564673269499;
3x3x3;00:21.909;F2 D2 U2 B D2 R2 D2 F L2 R U' B F2 R' B L B2 F D2 U;2019-08-01 18:26;no;no;1564673269499;
3x3x3;00:24.284;U2 B' F2 R2 F D2 F2 D2 L2 U' L B' D' U' B L F2 U2 B' R;2019-08-01 18:25;no;no;1564673269499;
3x3x3;00:19.211;D' F2 U2 B2 L2 U L2 R2 U F2 R D' F L' B D2 B2 U' F2;2019-08-01 18:24;no;no;1564673269499;
3x3x3;00:26.801;R2 F2 R2 U' R2 F' B2 R B D F D2 L' D2 L U2 F2 L2 F2 L';2019-08-01 18:23;no;no;1564673269499;
3x3x3;00:20.395;F' R D2 R F' D' R' F2 L B' D2 R2 U2 D2 B' L2 B U2 F L2;2019-08-01 18:22;no;no;1564673269499;
3x3x3;00:22.559;U' R U' B' D F' D L D' R F R2 F2 R2 D2 B U2 L2 U2 R2;2019-08-01 18:21;no;no;1564673269499;
3x3x3;00:22.836;U' F2 R2 D' B2 L2 U' F2 L R B' D' L' B L' R2 B2 U' L2;2019-08-01 18:20;no;no;1564673269499;
3x3x3;00:22.075;U2 F2 U2 R2 B2 L2 F2 R D2 L B U' L2 U F2 D2 B' L' U' L';2019-08-01 18:19;no;no;1564673269499;
3x3x3;00:22.323;L2 F' U2 B' R2 B' L B2 D' R2 U L' R2 F' D2 U2 B;2019-08-01 18:18;no;no;1564673269499;
3x3x3;00:17.895;R2 B R2 F D2 L2 F2 R2 F' R' B' R B' R' F2 D' F U2 F2;2019-08-01 18:18;no;no;1564673269499;
3x3x3;00:18.281;L' D2 L U2 B2 F2 R' B2 L2 D R' U2 L U' L' F' L' D' B2 R';2019-08-01 18:17;no;no;1564673269499;
3x3x3;00:20.607;L F L U' F R2 B' R' F L' D F2 B2 D2 L2 D L2 F2 D2;2019-08-01 18:16;no;no;1564673269499;
3x3x3;00:16.286;D B2 U2 B2 L2 D U B2 R' F2 U2 F' R U2 B L F' D U;2019-08-01 18:15;no;no;1564673269499;
3x3x3;00:16.049;F' D2 F' D2 B D2 L2 B2 F D' F' L' R2 D' L' F2 L2 F2 U' F';2019-08-01 18:14;no;no;1564673269499;
3x3x3;00:21.510;B2 L' U' F2 U D R B' D2 L U2 D2 R2 U2 R' F2 L2 U2 F2;2019-08-01 18:13;no;no;1564673269499;
3x3x3;00:16.374;L2 U B2 F2 U R2 B2 U2 F2 U2 B' L R U F' U2 B' R F2 L D2;2019-08-01 18:11;no;no;1564673269499;
3x3x3;00:20.367;F' U' B' D' F R' U2 R2 F2 R U' L2 B2 U2 B' R2 F U2 D2 F;2019-08-01 18:10;no;no;1564673269499;
3x3x3;00:19.827;R2 F2 L2 U' B2 R2 F2 U' F2 R2 U F R D2 L2 F' U' L U L;2019-08-01 18:09;no;no;1564673269499;
3x3x3;00:27.999;F2 D R2 D' L2 R2 U B2 L U F' U2 B' U2 F' U R2 F' U2;2019-07-31 22:19;no;no;1564599709954;
3x3x3;00:26.420;U R2 B2 F2 U' B2 D2 B2 R2 F2 R2 F' R' U' R' F' U2 R U' F2 D;2019-07-31 22:18;no;no;1564599709954;
3x3x3;00:21.426;D2 B2 R2 F2 R2 U2 B' R2 F2 U B' L2 U2 L' B R B U F' D';2019-07-31 22:17;no;no;1564599709954;
3x3x3;00:24.815;U' L2 U' R U F' L' F' D' B2 R2 B U2 B' L2 F' L2 D2 B';2019-07-31 22:16;no;no;1564599709954;
3x3x3;00:19.597;B2 L2 B2 R2 U' L2 D' R2 U B' L' F' D2 B U L2 D' B L R2;2019-07-31 22:15;no;no;1564599709954;
3x3x3;00:22.987;D' F' R B L B2 L2 U R2 L' U' D2 R2 D2 L2 B2 R2 D' L2 U';2019-07-31 22:13;no;no;1564599709954;
3x3x3;00:17.830;F2 U2 L' U2 R B2 D2 R' D2 R2 B U L' D U' B2 F' L F2 U';2019-07-31 22:12;no;no;1564599709954;
3x3x3;00:25.785;R2 U2 L2 U F2 U B2 F2 R B R2 B2 U' F R D R2 D2 B R;2019-07-31 22:11;no;no;1564599709954;
3x3x3;00:20.769;F2 L2 F2 B L2 F2 U2 R D B' U2 F2 U D2 B2 L2 D F2 B2;2019-07-31 22:08;no;no;1564599709954;
3x3x3;00:20.927;L' F2 D2 R2 F2 R2 F2 R' B2 R2 D B U B' R2 F' L U2 B R;2019-07-31 22:07;no;no;1564599709954;
3x3x3;00:20.565;F U2 L U R F' U D L' U' B' R2 D2 F2 L2 D2 R F2 R2;2019-07-31 22:03;no;no;1564599709954;
3x3x3;00:18.518;F2 R' B2 R' U2 L B2 L F2 R B' U F' D' R2 U B' R U2 B';2019-07-31 22:03;no;no;1564599709954;
3x3x3;00:22.477;B2 L2 B' F2 U2 F2 L2 D2 L2 F' L' D R' D' B D R2 U L D2;2019-07-31 22:02;no;no;1564599709954;
3x3x3;00:23.622;F' R L' U2 F' U' B' D2 L' D2 F B2 R2 L2 F' U2 F' L2 D2;2019-07-31 22:01;no;no;1564599709954;
3x3x3;00:22.855;R B' D L D2 F B' U' R D R' B2 U' D' R2 B2 U' B2 D2;2019-07-31 22:00;no;no;1564599709954;
3x3x3;00:21.962;F U' D' L2 F' U' R L F L2 B D2 L2 B2 D F2 R2 L2 U2;2019-07-31 21:57;no;no;1564599709954;
3x3x3;00:24.383;F2 R' U2 L' F' U' F2 L2 F' R2 D L2 U2 F2 D' F2 U R2 B2 L2;2019-07-31 21:55;no;no;1564599709954;
3x3x3;00:19.457;L' D2 R B U2 R' U R2 F L' F' D' F2 D R2 F2 D2 R2;2019-07-31 21:54;no;no;1564599709954;
3x3x3;00:21.765;R2 D B2 D2 F2 L2 U2 F2 D L2 U2 L F2 D' F D2 R' U2 F' R2;2019-07-31 21:53;no;no;1564599709954;
3x3x3;00:21.516;B' R U F' L2 D' F' L2 U2 L' D' R2 U R2 U L2 D' L2 D' R2;2019-07-31 21:52;no;no;1564599709954;
3x3x3;00:21.521;F D L B U2 B R L' F R2 D R' B2 L U2 R' B2 U2;2019-07-31 21:52;no;no;1564599709954;
3x3x3;00:26.934;L2 D' B2 D' L2 D2 R2 D2 B' D U' R2 F2 L' B' R2 D2 B2 R;2019-07-31 21:51;no;no;1564599709954;
3x3x3;00:17.619;R F' B' L D B U2 R' F L U F2 R2 U D2 B2 L2 B2 L2 D';2019-07-31 21:50;no;no;1564599709954;
